Player,Tm,CurrentSalary,player_code
Stephen Curry,GSW,40231758,curryst01
Chris Paul,OKC,38506482,paulch01
Russell Westbrook,HOU,38178000,westbru01
John Wall,WAS,37800000,walljo01
James Harden,HOU,37800000,hardeja01
LeBron James,LAL,37436858,jamesle01
Kevin Durant,BRK,37199000,duranke01
Blake Griffin,DET,34234964,griffbl01
Kyle Lowry,TOR,33296296,lowryky01
Paul George,LAC,33005556,georgpa01
Klay Thompson,GSW,32742000,thompkl01
Jimmy Butler,MIA,32742000,butleji01
Kemba Walker,BOS,32742000,walkeke02
Kawhi Leonard,LAC,32742000,leonaka01
Gordon Hayward,BOS,32700690,haywago01
Mike Conley,UTA,32511623,conlemi01
Kyrie Irving,BRK,31742000,irvinky01
Tobias Harris,PHI,31034483,harrito02
Khris Middleton,MIL,30603448,middlkh01
Paul Millsap,DEN,30500000,millspa01
Damian Lillard,POR,29802321,lillada01
Kevin Love,CLE,28900000,loveke01
Nikola Vučević,ORL,28000000,vucevni01
Al Horford,PHI,28000000,horfoal01
DeMar DeRozan,SAS,27739975,derozde01
CJ McCollum,POR,27556959,mccolcj01
Joel Embiid,PHI,27504630,embiijo01
Andrew Wiggins,GSW,27504630,wiggian01
Kristaps Porziņģis,DAL,27285000,porzikr01
D'Angelo Russell,MIN,27285000,russeda01
Otto Porter,CHI,27250576,porteot01
Devin Booker,PHO,27250000,bookede01
Karl-Anthony Towns,MIN,27250000,townska01
Bradley Beal,WAS,27093019,bealbr01
Anthony Davis,LAL,27093019,davisan02
Andre Drummond,CLE,27093019,drumman01
Hassan Whiteside,POR,27093018,whiteha01
Nikola Jokić,DEN,26573595,jokicni01
Jrue Holiday,NOP,26131111,holidjr01
LaMarcus Aldridge,SAS,26000000,aldrila01
Steven Adams,OKC,25842697,adamsst01
Giannis Antetokounmpo,MIL,25842697,antetgi01
Marc Gasol,TOR,25595700,gasolma01
Nicolas Batum,CHO,25565217,batumni01
Chandler Parsons,ATL,25102511,parsoch01
Rudy Gobert,UTA,25008427,goberru01
Harrison Barnes,SAC,24147727,barneha02
Serge Ibaka,TOR,23271604,ibakase01
Danilo Gallinari,OKC,22615559,gallida01
Victor Oladipo,IND,21000000,oladivi01
Malcolm Brogdon,IND,20000000,brogdma01
Terry Rozier,CHO,19894737,roziete01
Aaron Gordon,ORL,19863636,gordoaa01
Zach LaVine,CHI,19500000,lavinza01
Kent Bazemore,SAC,19269662,bazemke01
Tyler Johnson,PHO,19245370,johnsty01
Goran Dragić,MIA,19217900,dragigo01
Jeff Teague,ATL,19000000,teaguje01
Evan Turner,MIN,18606557,turneev01
Draymond Green,GSW,18539130,greendr01
Tristan Thompson,CLE,18539130,thomptr01
Tim Hardaway,DAL,18150000,hardati02
Myles Turner,IND,18000000,turnemy01
Julius Randle,NYK,18000000,randlju01
Gary Harris,DEN,17839286,harriga01
Allen Crabbe,MIN,17818456,crabbal01
Derrick Favors,NOP,17650000,favorde01
Reggie Jackson,DET,17286956,jacksre01
Andre Iguodala,MIA,17185185,iguodan01
Bojan Bogdanović,UTA,17000000,bogdabo02
Evan Fournier,ORL,17000000,fournev01
Bismack Biyombo,CHO,17000000,biyombi01
Clint Capela,ATL,16456522,capelca01
Gorgui Dieng,MEM,16229213,dienggo01
Ricky Rubio,PHO,16190476,rubiori01
Jonas Valančiūnas,MEM,16000000,valanjo01
Brandon Knight,DET,15643750,knighbr03
Eric Bledsoe,MIL,15625000,bledser01
Kelly Oubre,PHO,15625000,oubreke01
Dennis Schröder,OKC,15500000,schrode01
Ian Mahinmi,WAS,15450051,mahinia01
James Johnson,MIN,15349400,johnsja01
Marvin Williams,CHO,15006250,willima02
Bobby Portis,NYK,15000000,portibo01
Marcus Morris,LAC,15000000,morrima03
Danny Green,LAL,14634146,greenda02
Cody Zeller,CHO,14471910,zelleco01
Eric Gordon,HOU,14057730,gordoer01
Mason Plumlee,DEN,14041096,plumlma01
Rudy Gay,SAS,14000000,gayru01
J.J. Redick,NOP,13486300,redicjj01
Jordan Clarkson,UTA,13437500,clarkjo01
Dewayne Dedmon,ATL,13333334,dedmode01
Solomon Hill,MIA,13258781,hillso01
Justise Winslow,MEM,13000000,winslju01
Michael Kidd-Gilchrist,CHO,13000000,kiddgmi01
Will Barton,DEN,12960000,bartowi01
Thaddeus Young,CHI,12900000,youngth01
Courtney Lee,DAL,12759670,leeco01
Larry Nance,CLE,12727273,nancela02
Marcus Smart,BOS,12553471,smartma01
Terrence Ross,ORL,12500000,rosste01
Miles Plumlee,MEM,12500000,plumlmi01
Patty Mills,SAS,12428571,millspa02
Patrick Beverley,LAC,12345679,beverpa01
Trevor Ariza,POR,12200000,arizatr01
Dion Waiters,MEM,12100000,waitedi01
Brook Lopez,MIL,12093024,lopezbr01
Jusuf Nurkić,POR,12000000,nurkiju01
Cory Joseph,SAC,12000000,josepco01
Joe Ingles,UTA,11954546,inglejo01
Kelly Olynyk,MIA,11667885,olynyke01
Maurice Harkless,NYK,11511234,harklma01
Tony Snell,DET,11392857,snellto01
Robert Covington,HOU,11301219,covinro01
Meyers Leonard,MIA,11286515,leoname01
T.J. Warren,IND,10810000,warretj01
Andre Roberson,OKC,10740741,roberan03
Spencer Dinwiddie,BRK,10600000,dinwisp01
Jeremy Lamb,IND,10500000,lambje01
Dwight Powell,DAL,10259375,poweldw01
Norman Powell,TOR,10116576,powelno01
Josh Richardson,PHI,10100000,richajo01
Tomáš Satoranský,CHI,10000000,satorto01
DeAndre Jordan,BRK,9881598,jordade01
Taj Gibson,NYK,9800000,gibsota01
Zion Williamson,NOP,9757440,willizi01
Markelle Fultz,ORL,9745200,fultzma01
John Henson,DET,9732396,hensojo01
Matthew Dellavedova,CLE,9607500,dellama01
Dante Exum,CLE,9600000,exumda01
Deandre Ayton,PHO,9562920,aytonde01
Delon Wright,DAL,9473684,wrighde01
Jerami Grant,DEN,9346153,grantje01
Al-Farouq Aminu,ORL,9258000,aminual01
George Hill,MIL,9133907,hillge01
Kyle Anderson,MEM,9073050,anderky01
Fred VanVleet,TOR,9000000,vanvlfr01
Ja Morant,MEM,8730240,moranja01
C.J. Miles,WAS,8730158,milescj01
Lonzo Ball,NOP,8719320,balllo01
E'Twaun Moore,NOP,8664928,mooreet01
Marvin Bagley,SAC,8556120,baglema01
Bogdan Bogdanović,SAC,8529386,bogdabo01
Tyus Jones,MEM,8408000,jonesty01
P.J. Tucker,HOU,8349039,tuckepj01
Cristiano Felício,CHI,8156500,feliccr01
Ben Simmons,PHI,8113930,simmobe01
Kentavious Caldwell-Pope,LAL,8089282,caldwke01
Maxi Kleber,DAL,8000000,klebima01
Lou Williams,LAC,8000000,willilo02
Elfrid Payton,NYK,8000000,paytoel01
Thomas Bryant,WAS,7936508,bryanth01
RJ Barrett,NYK,7839960,barrerj01
Jayson Tatum,BOS,7830000,tatumja01
Jae Crowder,MIA,7815533,crowdja01
Wayne Ellington,NYK,7804878,ellinwa01
Luka Dončić,DAL,7683360,doncilu01
Joe Harris,BRK,7670000,harrijo01
Seth Curry,DAL,7441860,curryse01
Doug McDermott,IND,7333334,mcderdo01
Langston Galloway,DET,7333333,gallola01
Derrick Rose,DET,7317073,rosede01
Brandon Ingram,NOP,7265485,ingrabr01
D.J. Augustin,ORL,7250000,augusdj01
Darius Miller,NOP,7250000,milleda01
De'Andre Hunter,ATL,7068360,huntede01
Josh Jackson,MEM,7059480,jacksjo02
Dāvis Bertāns,WAS,7000000,bertada01
Ersan İlyasova,MIL,7000000,ilyaser01
Jaren Jackson,MEM,6927480,jacksja02
DeMarre Carroll,SAS,6842307,carrode01
Nemanja Bjelica,SAC,6825000,bjeline01
Jaylen Brown,BOS,6534829,brownja02
Jabari Parker,SAC,6500000,parkeja01
Ivica Zubac,LAC,6481482,zubaciv01
Joakim Noah,NYK,6431666,noahjo01
Darius Garland,CLE,6400920,garlada01
De'Aaron Fox,SAC,6392760,foxde01
Trae Young,ATL,6273000,youngtr01
Montrezl Harrell,LAC,6000000,harremo01
Ish Smith,WAS,5853659,smithis01
Marco Belinelli,SAS,5846154,belinma01
Jarrett Culver,MIN,5813640,culveja01
Jonathan Isaac,ORL,5806440,isaacjo01
Rodney Hood,POR,5718000,hoodro01
Mohamed Bamba,ORL,5697600,bambamo01
Timofey Mozgov,ORL,5573333,mozgoti01
Trey Lyles,SAS,5500000,lylestr01
Deron Williams,BRK,5474787,willide01
Aron Baynes,PHO,5453280,baynear01
Kris Dunn,CHI,5348007,dunnkr01
Josh Smith,DET,5331729,smithjo03
Coby White,CHI,5307120,whiteco01
Lauri Markkanen,CHI,5300400,markkla01
Ryan Anderson,MIA,5214583,anderry01
Wendell Carter,CHI,5201400,cartewe01
Pau Gasol,SAS,5100000,gasolpa01
Daniel Theis,BOS,5000000,theisda01
Luol Deng,LAL,4990000,denglu01
Jaxson Hayes,NOP,4862040,hayesja02
Buddy Hield,SAC,4861208,hieldbu01
Frank Ntilikina,NYK,4855800,ntilila01
Ed Davis,UTA,4767000,davised01
Richaun Holmes,SAC,4767000,holmeri01
Frank Kaminsky,PHO,4767000,kaminfr01
Mike Scott,PHI,4767000,scottmi01
Avery Bradley,LAL,4767000,bradlav01
Robin Lopez,MIL,4767000,lopezro01
JaMychal Green,LAC,4767000,greenja01
Justin Holiday,IND,4767000,holidju01
Garrett Temple,BRK,4767000,templga01
Enes Kanter,BOS,4767000,kanteen01
Collin Sexton,CLE,4764960,sextoco01
Rodney McGruder,LAC,4629630,mcgruro01
Rui Hachimura,WAS,4469160,hachiru01
Kevon Looney,GSW,4464286,looneke01
Dennis Smith,NYK,4463640,smithde03
Jamal Murray,DEN,4444746,murraja01
Kevin Knox,NYK,4380120,knoxke01
Cam Reddish,ATL,4245720,reddica01
Zach Collins,POR,4240200,colliza01
Mikal Bridges,PHO,4161000,bridgmi01
Alex Len,SAC,4160000,lenal01
Cameron Johnson,PHO,4033440,johnsca02
Malik Monk,CHO,4028400,monkma01
Dorian Finney-Smith,DAL,4000000,finnedo01
JaVale McGee,LAL,4000000,mcgeeja01
Patrick McCaw,TOR,4000000,mccawpa01
Reggie Bullock,NYK,4000000,bullore01
Shai Gilgeous-Alexander,OKC,3952920,gilgesh01
Nicolò Melli,NOP,3902439,mellini01
P.J. Washington,CHO,3831840,washipj01
Luke Kennard,DET,3827160,kennalu01
Miles Bridges,CHO,3755400,bridgmi02
Jakob Pöltl,SAS,3754886,poeltja01
Tyler Herro,MIA,3640200,herroty01
Donovan Mitchell,UTA,3635760,mitchdo01
Stanley Johnson,TOR,3623000,johnsst04
Jake Layman,MIN,3581986,laymaja01
Thon Maker,DET,3569643,makerth01
Jerome Robinson,WAS,3567720,robinje01
Allonzo Trier,NYK,3551100,trieral01
Danuel House,HOU,3540000,houseda01
Domantas Sabonis,IND,3529555,sabondo01
Mirza Teletović,MIL,3500000,teletmi01
Boban Marjanović,DAL,3500000,marjabo01
T.J. McConnell,IND,3500000,mccontj01
DeMarcus Cousins,LAL,3500000,couside01
Taurean Waller-Prince,BRK,3481986,princta02
Dario Šarić,PHO,3481986,saricda01
Romeo Langford,BOS,3458400,langfro01
Bam Adebayo,MIA,3454080,adebaba01
Kyle Korver,PHO,3440000,korveky01
Michael Porter,DEN,3389400,portemi01
Denzel Valentine,CHI,3377569,valende01
Juan Hernangómez,MIN,3321030,hernaju01
Sekou Doumbouya,DET,3285120,doumbse01
Justin Jackson,DAL,3280920,jacksju01
Troy Brown,WAS,3219480,browntr01
Jon Leuer,MIL,3169348,leuerjo01
Yogi Ferrell,SAC,3150000,ferreyo01
Guerschon Yabusele,BOS,3117240,yabusgu01
Zhaire Smith,PHI,3058800,smithzh01
Dwight Howard,MEM,3039097,howardw01
Khem Birch,ORL,3000000,birchkh01
Ryan Arcidiacono,CHI,3000000,arcidry01
Quinn Cook,LAL,3000000,cookqu01
Ömer Aşık,CHI,3000000,asikom01
Nickeil Alexander-Walker,NOP,2964840,alexani01
D.J. Wilson,MIL,2961120,wilsodj01
Cedi Osman,CLE,2907143,osmande01
Donte DiVincenzo,MIL,2905800,divindo01
Bryn Forbes,SAS,2875000,forbebr01
Andrew Nicholson,POR,2844429,nichoan01
Goga Bitadze,IND,2816760,bitadgo01
T.J. Leaf,IND,2813280,leaftj01
Lonnie Walker,SAS,2760480,walkelo01
Alex Caruso,LAL,2750000,carusal01
Malik Beasley,MIN,2731714,beaslma01
Luka Šamanić,SAS,2689920,samanlu01
John Collins,ATL,2686560,collijo01
Kevin Huerter,ATL,2636280,huertke01
Caris LeVert,BRK,2625718,leverca01
Marko Guduric,MEM,2625000,gudurma01
DeAndre' Bembry,ATL,2603982,bembrde01
Matisse Thybulle,PHI,2582160,thybuma01
Harry Giles,SAC,2578800,gilesha01
Jeff Green,UTA,2564753,greenje02
Pau Gasol,POR,2564753,gasolpa01
Wesley Matthews,MIL,2564753,matthwe02
Kyle Korver,MIL,2564753,korveky01
Udonis Haslem,MIA,2564753,hasleud01
Jared Dudley,LAL,2564753,dudleja01
Rajon Rondo,LAL,2564753,rondora01
Dwight Howard,LAL,2564753,howardw01
Thabo Sefolosha,HOU,2564753,sefolth01
Tyson Chandler,HOU,2564753,chandty01
Gerald Green,DEN,2564753,greenge01
J.J. Barea,DAL,2564753,bareajo01
Wilson Chandler,BRK,2564753,chandwi01
Nenê Hilário,ATL,2564753,hilarne01
Vince Carter,ATL,2564753,cartevi01
Josh Okogie,MIN,2530680,okogijo01
Vincent Poirier,BOS,2505793,poirivi01
Rondae Hollis-Jefferson,TOR,2500000,holliro01
Brandon Clarke,MEM,2478840,clarkbr01
Terrance Ferguson,OKC,2475840,fergute01
Grayson Allen,MEM,2429400,allengr01
Anthony Tolliver,SAC,2419852,tollian01
Grant Williams,BOS,2379840,willigr01
Jarrett Allen,BRK,2376840,allenja01
Pascal Siakam,TOR,2351839,siakapa01
Skal Labissière,ATL,2338847,labissk01
Chandler Hutchison,CHI,2332320,hutchch01
Patrick Patterson,LAC,2331593,pattepa01
Dejounte Murray,SAS,2321735,murrade01
Alec Burks,PHI,2320044,burksal01
Isaiah Thomas,LAC,2320044,thomais02
Damian Jones,ATL,2305057,jonesda03
Darius Bazley,OKC,2284800,bazleda01
OG Anunoby,TOR,2281800,anunoog01
Ante Žižić,CLE,2281800,zizican01
Monta Ellis,IND,2245400,ellismo01
Markieff Morris,DET,2241808,morrima02
Aaron Holiday,IND,2239200,holidaa01
Luke Kornet,CHI,2195122,kornelu01
Ty Jerome,PHO,2193480,jeromty01
Willie Cauley-Stein,DAL,2177483,caulewi01
Austin Rivers,HOU,2174318,riverau01
Carmelo Anthony,POR,2159029,anthoca01
Anfernee Simons,POR,2149560,simonan01
Matt Barnes,SAC,2133541,barnema02
Nassir Little,POR,2105520,littlna01
Torrey Craig,DEN,2100000,craigto01
Moritz Wagner,WAS,2063520,wagnemo01
Dylan Windler,CLE,2035800,windldy01
Caleb Swanigan,POR,2033160,swanica01
Trey Burke,PHI,2028594,burketr01
Kyle O'Quinn,PHI,2028594,oquinky01
Michael Carter-Williams,ORL,2028594,cartemi01
Mike Muscala,OKC,2028594,muscami01
Nerlens Noel,OKC,2028594,noelne01
Troy Daniels,LAL,2028594,danietr01
Ben McLemore,HOU,2028594,mclembe01
Spencer Hawes,MIL,2007058,hawessp01
Edmond Sumner,IND,2000000,sumneed01
Avery Bradley,MEM,2000000,bradlav01
Noah Vonleh,DEN,2000000,vonleno01
Landry Shamet,LAC,1995120,shamela01
Mfiondu Kabengele,LAC,1977000,kabenmf01
Kyle Kuzma,LAL,1974600,kuzmaky01
Jordan Poole,GSW,1964760,poolejo01
Tony Bradley,UTA,1962360,bradlto01
Keldon Johnson,SAS,1950600,johnske04
Derrick White,SAS,1948080,whitede01
Robert Williams,BOS,1937520,williro04
Josh Hart,NOP,1934160,hartjo01
Jacob Evans,MIN,1925880,evansja02
Anderson Varejão,POR,1913345,varejan01
Džanan Musa,BRK,1911600,musadz01
Omari Spellman,MIN,1897800,spellom01
Shabazz Napier,WAS,1882867,napiesh01
Glenn Robinson,PHI,1882867,robingl02
James Ennis,ORL,1882867,ennisja01
Tim Frazier,DET,1882867,fraziti01
Larry Sanders,MIL,1865547,sandela01
Bruno Caboclo,HOU,1845301,cabocbr01
Markieff Morris,LAL,1750000,morrima02
Mario Hezonja,POR,1737145,hezonma01
Emmanuel Mudiay,UTA,1737145,mudiaem01
Raul Neto,PHI,1737145,netora01
JaKarr Sampson,IND,1737145,sampsja02
Pat Connaughton,MIL,1723050,connapa01
Jahlil Okafor,NOP,1702486,okafoja01
Rodions Kurucs,BRK,1699236,kurucro01
Jonah Bolden,PHI,1698450,boldejo01
Georges Niang,UTA,1678854,niangge01
Cheick Diallo,PHO,1678854,diallch01
Dragan Bender,MIL,1678854,bendedr01
David Nwaba,BRK,1678854,nwabada01
Treveon Graham,ATL,1678854,grahatr01
Willy Hernangómez,CHO,1676735,hernawi01
Derrick Jones,MIA,1645357,jonesde02
Jordan McRae,DET,1645357,mcraejo01
Christian Wood,DET,1645357,woodch01
Furkan Korkmaz,PHI,1620564,korkmfu01
Jordan Bell,MEM,1620564,belljo01
Justin Patton,DAL,1620564,pattoju01
Royce O'Neale,UTA,1618520,onealro01
Dillon Brooks,MEM,1618520,brookdi01
Wesley Iwundu,ORL,1618520,iwundwe01
Abdel Nader,OKC,1618520,naderab01
Damyean Dotson,NYK,1618520,dotsoda01
Frank Jackson,NOP,1618520,jacksfr01
Sterling Brown,MIL,1618520,brownst02
Dwayne Bacon,CHO,1618520,bacondw01
Semi Ojeleye,BOS,1618520,ojelese01
Chris Boucher,TOR,1588231,bouchch01
Malcolm Miller,TOR,1588231,millema01
Monte Morris,DEN,1588231,morrimo01
Mitchell Robinson,NYK,1559712,robinmi01
Vlatko Čančar,DEN,1517981,cancavl01
Isaiah Roby,OKC,1500000,robyis01
Nigel Williams-Goss,UTA,1500000,willini01
J.R. Smith,CLE,1456667,smithjr01
Shake Milton,PHI,1445697,miltosh01
Thanasis Antetokounmpo,MIL,1445697,antetth01
Amile Jefferson,ORL,1445697,jeffeam01
Theo Pinson,BRK,1445697,pinsoth01
Brad Wanamaker,BOS,1445697,wanambr01
Derrick Walton,ATL,1445697,waltode01
Ryan Broekhoff,DAL,1443842,broekry01
Gary Trent,POR,1416852,trentga02
Isaac Bonga,WAS,1416852,bongais01
Chimezie Metu,SAS,1416852,metuch01
Jevon Carter,PHO,1416852,carteje01
Elie Okobo,PHO,1416852,okoboel01
Melvin Frazier,ORL,1416852,frazime01
Deonte Burton,OKC,1416852,burtode02
Hamidou Diallo,OKC,1416852,diallha01
Kenrich Williams,NOP,1416852,willike04
Jarred Vanderbilt,MIN,1416852,vandeja01
Duncan Robinson,MIA,1416852,robindu01
Kendrick Nunn,MIA,1416852,nunnke01
De'Anthony Melton,MEM,1416852,meltode01
Alize Johnson,IND,1416852,johnsal02
Isaiah Hartenstein,HOU,1416852,harteis01
Sviatoslav Mykhailiuk,DET,1416852,mykhasv01
Bruce Brown,DET,1416852,brownbr01
Keita Bates-Diop,DEN,1416852,bateske01
Devonte' Graham,CHO,1416852,grahade01
Jalen Brunson,DAL,1416582,brunsja01
Bruno Fernando,ATL,1400000,fernabr01
Jaylen Nowell,MIN,1400000,nowelja01
Alfonzo McKinnie,CLE,1361046,mckinal01
Kevin Porter,CLE,1290960,porteke02
Carsen Edwards,BOS,1228026,edwarca01
Cody Martin,CHO,1173310,martico01
Gary Payton,WAS,1090781,paytoga02
George Hill,MIL,1000000,hillge01
Terance Mann,LAC,1000000,mannte01
Jonathon Simmons,WAS,1000000,simmojo02
Justin Hamilton,TOR,1000000,hamilju01
Kyle Singler,OKC,999200,singlky01
Marvin Williams,MIL,956349,willima02
Admiral Schofield,WAS,898310,schofad01
KZ Okpala,MIA,898310,okpalkz01
Eric Paschall,GSW,898310,pascher01
Nicolas Claxton,BRK,898310,claxtni01
Justin James,SAC,898310,jamesju01
Jalen Lecque,PHO,898310,lecquja01
Ignas Brazdeikis,NYK,898310,brazdig01
Talen Horton-Tucker,LAL,898310,hortota01
Daniel Gafford,CHI,898310,gaffoda01
Alen Smailagić,GSW,898310,smailal01
Matt Thomas,TOR,898310,thomama02
Miye Oni,UTA,898310,onimi01
Dewan Hernandez,TOR,898310,hernade01
Terence Davis,TOR,898310,daviste02
Wenyen Gabriel,POR,898310,gabriwe01
Naz Reid,MIN,898310,reidna01
Jalen McDaniels,CHO,898310,mcdanja01
Caleb Martin,CHO,898310,martica02
Shaquille Harrison,CHI,898310,harrish01
Javonte Green,BOS,898310,greenja02
Damion Lee,GSW,842327,leeda03
Khyri Thomas,DET,838464,thomakh01
DeMarre Carroll,HOU,811447,carrode01
Michael Kidd-Gilchrist,DAL,810763,kiddgmi01
Marquese Chriss,GSW,758804,chrisma01
Juwan Morgan,UTA,746054,morgaju01
Patrick Patterson,OKC,737067,pattepa01
Reggie Jackson,LAC,734025,jacksre01
Alfonzo McKinnie,CLE,708871,mckinal01
Gary Clark,HOU,708426,clarkga01
Jeff Green,HOU,695526,greenje02
Cole Aldrich,MIN,685340,aldrico01
Shaun Livingston,GSW,666667,livinsh01
Marquese Chriss,GSW,654468,chrisma01
Timothé Luwawu-Cabarrot,BRK,654468,luwawti01
Rayjon Tucker,UTA,578573,tuckera01
Chris Clemons,HOU,568422,clemoch01
Gary Clark,ORL,555409,clarkga01
Brandon Goodwin,ATL,522738,goodwbr01
Dion Waiters,LAL,503656,waitedi01
Ryan Anderson,HOU,500000,anderry01
Anžejs Pasečņiks,WAS,482144,pasecan01
Troy Daniels,DEN,481000,danietr01
Chris Silva,MIA,466918,silvach01
Dakari Johnson,MEM,459414,johnsda04
Iman Shumpert,BRK,419443,shumpim01
Max Strus,BOS,415414,strusma01
Justin Robinson,WAS,395866,robinju01
Ivan Rabb,MEM,371758,rabbiv01
Norvel Pelle,PHI,350189,pelleno01
Ky Bowman,GSW,350189,bowmaky01
Juan Toscano-Anderson,GSW,350189,toscaju01
A.J. Hammons,MIA,350087,hammoaj01
Festus Ezeli,POR,333333,ezelife01
C.J. Watson,ORL,333333,watsocj01
Stanton Kidd,UTA,250000,kiddst01
Joe Johnson,DET,220000,johnsjo02
Jemerrio Jones,WAS,199000,jonesje01
Jontay Porter,MEM,197933,portejo01
Timothé Luwawu-Cabarrot,BRK,189702,luwawti01
Dragan Bender,GSW,189702,bendedr01
Mychal Mulder,GSW,187782,muldemy01
Alfonzo McKinnie,CLE,183114,mckinal01
Gary Clark,ORL,163356,clarkga01
Joe Chealey,CHO,163356,chealjo01
Cameron Payne,TOR,150000,payneca01
Jeff Green,HOU,144901,greenje02
Anthony Tolliver,MEM,144901,tollian01
Joakim Noah,LAC,144901,noahjo01
Troy Williams,HOU,122741,willitr02
Johnathan Williams,WAS,106181,willijo04
Tyler Cook,CLE,101504,cookty01
Donta Hall,DET,101504,halldo01
Yante Maten,MIA,100000,matenya01
Jaylen Adams,ATL,100000,adamsja01
Justin Anderson,BRK,98144,anderju01
Demetrius Jackson,BOS,92857,jacksde01
Jeremy Pargo,GSW,91557,pargoje01
Chasson Randle,GSW,91557,randlch01
Jonah Bolden,PHO,81678,boldejo01
Josh Magette,ORL,81678,magetjo01
Jarrod Uthoff,MEM,81678,uthofja01
Dusty Hannahs,MEM,81678,hannadu01
Derrick Walton,DET,81678,waltode01
J.P. Macura,CLE,81678,macurjp01
Sheldon Mac,CLE,81678,mcclesh01
Mychal Mulder,GSW,50752,muldemy01
Eric Mika,SAC,50752,mikaer01
Zach Norvell,GSW,50752,norveza01
Malik Newman,CLE,50752,newmama01
Marques Bolden,CLE,50752,boldema01
Sir'Dominic Pointer,CLE,50752,pointsi01
Paul Watson,ATL,50752,watsopa01
Tyler Cook,CLE,50000,cookty01
William Howard,UTA,50000,howarwi01
Isaiah Taylor,TOR,50000,taylois01
Tyler Lydon,SAC,50000,lydonty01
Hollis Thompson,SAC,50000,thompho01
Tyler Ulis,SAC,50000,ulisty01
